,sync,seq,pitch,rest,varname,play,newline,+,++,-,--,<,<<,>,>>,*,->,[,],~,time,{,.,),EOF
PROG,ELEMS newline PLAY SUBELEMS,ELEMS newline PLAY SUBELEMS,ELEMS newline PLAY SUBELEMS,ELEMS newline PLAY SUBELEMS,ELEMS newline PLAY SUBELEMS,PLAY SUBELEMS,newline PROG newline,,,,,,,,,,,,,,,,,,SYNCH
ELEM,SYNC SUBELEM,SEQ SUBELEM,NOTE SUBELEM,REST SUBELEM,VAR SUBELEM,,SYNCH,,,,,,,,,,SYNCH,,,,,,,,
SUBELEM,,,,,,,e,+ num SUBELEM,++ SUBELEM,- num SUBELEM,-- SUBELEM,< num SUBELEM,<< SUBELEM,> num SUBELEM,>> SUBELEM,* num,e,,,,,,,,
VAR,,,,,varname SUBVAR,,SYNCH,SYNCH,SYNCH,SYNCH,SYNCH,SYNCH,SYNCH,SYNCH,SYNCH,SYNCH,SYNCH,,,,,,,,
SUBVAR,,,,,,,e,e,e,e,e,e,e,e,e,e,e,[ num SUB2VAR,,,,,,,
SUB2VAR,,,,,,,SYNCH,SYNCH,SYNCH,SYNCH,SYNCH,SYNCH,SYNCH,SYNCH,SYNCH,SYNCH,SYNCH,,],~ num ],,,,,
ELEMS,ELEM SUBELEMS,ELEM SUBELEMS,ELEM SUBELEMS,ELEM SUBELEMS,ELEM SUBELEMS,,SYNCH,,,,,,,,,,,,,,,,,,
SUBELEMS,,,,,,,newline ELEMS,,,,,,,,,,-> varname SUBELEMS2,,,,,,,,e
SUBELEMS2,,,,,,,newline ELEMS,,,,,,,,,,,,,,,,,,e
SEQ,,seq SUBBODY,,,,,SYNCH,SYNCH,SYNCH,SYNCH,SYNCH,SYNCH,SYNCH,SYNCH,SYNCH,SYNCH,SYNCH,,,,,,,,
SYNC,sync SUBBODY,,,,,,SYNCH,SYNCH,SYNCH,SYNCH,SYNCH,SYNCH,SYNCH,SYNCH,SYNCH,SYNCH,SYNCH,,,,,,,,
PLAY,,,,,,play SUBBODY,SYNCH,SYNCH,SYNCH,SYNCH,SYNCH,SYNCH,SYNCH,SYNCH,SYNCH,SYNCH,,,,,,,,,SYNCH
SUBBODY,,,,,,,newline { newline ELEMS newline },SYNCH,SYNCH,SYNCH,SYNCH,SYNCH,SYNCH,SYNCH,SYNCH,SYNCH,,,,,,{ newline  ELEMS newline },,,SYNCH
NOTE,,,pitch ( num | TIME ),,,,SYNCH,SYNCH,SYNCH,SYNCH,SYNCH,SYNCH,SYNCH,SYNCH,SYNCH,SYNCH,SYNCH,,,,,,,,
REST,,,,rest ( TIME ),,,SYNCH,SYNCH,SYNCH,SYNCH,SYNCH,SYNCH,SYNCH,SYNCH,SYNCH,SYNCH,SYNCH,,,,,,,,
TIME,,,,,,,,,,,,,,,,,,,,,time SUBTIME,,,,
SUBTIME,,,,,,,,,,,,,,,,,,,,,,,. SUB2TIME,e,
SUB2TIME,,,,,,,,,,,,,,,,,,,,,,,. SUB3TIME,e,
SUB3TIME,,,,,,,,,,,,,,,,,,,,,,,.,e,
